epoch,step,train_loss_epoch,val_loss
0,0,,2.294590711593628
0,0,2.3156001567840576,
1,1,,2.30607008934021
1,1,2.3106722831726074,
2,2,,2.317580223083496
2,2,2.3056998252868652,
3,3,,2.3293943405151367
3,3,2.3006420135498047,
4,4,,2.3416497707366943
4,4,2.2954602241516113,
5,5,,2.3545165061950684
5,5,2.290113687515259,
6,6,,2.368204116821289
6,6,2.2845540046691895,
7,7,,2.382924795150757
7,7,2.2787232398986816,
8,8,,2.3989176750183105
8,8,2.2725558280944824,
9,9,,2.416477680206299
9,9,2.2659783363342285,
