epoch,step,train_loss_epoch,val_loss
0,0,,2.3276777267456055
0,0,2.299245834350586,
1,1,,2.3361260890960693
1,1,2.2959980964660645,
2,2,,2.3446829319000244
2,2,2.292785406112671,
3,3,,2.353390693664551
3,3,2.2895965576171875,
4,4,,2.3623123168945312
4,4,2.2864181995391846,
5,5,,2.371521234512329
5,5,2.283233880996704,
6,6,,2.3810925483703613
6,6,2.2800285816192627,
7,7,,2.391105890274048
7,7,2.276787042617798,
8,8,,2.401653528213501
8,8,2.2734906673431396,
9,9,,2.4128520488739014
9,9,2.2701199054718018,
